ticker,sector
CDW,Information Technology
APP,Information Technology
HPQ,Information Technology
TDY,Information Technology
IBM,Information Technology
APH,Information Technology
DDOG,Information Technology
ACN,Information Technology
VRSN,Information Technology
PTC,Information Technology
CSCO,Information Technology
SNDK,Information Technology
INTC,Information Technology
PANW,Information Technology
MSFT,Information Technology
NVDA,Information Technology
CTSH,Information Technology
GDDY,Information Technology
PLTR,Information Technology
STX,Information Technology
FFIV,Information Technology
AKAM,Information Technology
TXN,Information Technology
WDC,Information Technology
CRWD,Information Technology
IT,Information Technology
NOW,Information Technology
CRM,Information Technology
AMD,Information Technology
ADBE,Information Technology
Q,Information Technology
AAPL,Information Technology
ADSK,Information Technology
KLAC,Information Technology
ORCL,Information Technology
ANET,Information Technology
AVGO,Information Technology
CDNS,Information Technology
MPWR,Information Technology
TYL,Information Technology
SWKS,Information Technology
GLW,Information Technology
AMAT,Information Technology
SNPS,Information Technology
HPE,Information Technology
FSLR,Information Technology
CIEN,Information Technology
DELL,Information Technology
LRCX,Information Technology
SMCI,Information Technology
ON,Information Technology
ADI,Information Technology
QCOM,Information Technology
TRMB,Information Technology
GEN,Information Technology
TER,Information Technology
KEYS,Information Technology
INTU,Information Technology
ZBRA,Information Technology
MCHP,Information Technology
EPAM,Information Technology
COHR,Information Technology
WDAY,Information Technology
JBL,Information Technology
LITE,Information Technology
TEL,Information Technology
ROP,Information Technology
NXPI,Information Technology
MU,Information Technology
MSI,Information Technology
FTNT,Information Technology
NTAP,Information Technology
FICO,Information Technology
AXP,Financials
JPM,Financials
BRO,Financials
ACGL,Financials
PNC,Financials
EG,Financials
PGR,Financials
BAC,Financials
TRV,Financials
SCHW,Financials
GPN,Financials
C,Financials
AIG,Financials
TFC,Financials
GS,Financials
MCO,Financials
BX,Financials
AFL,Financials
CBOE,Financials
ERIE,Financials
GL,Financials
CME,Financials
ARES,Financials
NDAQ,Financials
BK,Financials
CPAY,Financials
MET,Financials
BRK.B,Financials
BLK,Financials
AMP,Financials
MA,Financials
RJF,Financials
ICE,Financials
FIS,Financials
AJG,Financials
HOOD,Financials
CFG,Financials
AIZ,Financials
RF,Financials
JKHY,Financials
CINF,Financials
AON,Financials
MTB,Financials
FISV,Financials
XYZ,Financials
FITB,Financials
FDS,Financials
V,Financials
HBAN,Financials
COIN,Financials
BEN,Financials
IBKR,Financials
NTRS,Financials
PYPL,Financials
KKR,Financials
MSCI,Financials
SYF,Financials
KEY,Financials
WTW,Financials
STT,Financials
USB,Financials
TROW,Financials
IVZ,Financials
MS,Financials
WRB,Financials
APO,Financials
CB,Financials
PFG,Financials
ALL,Financials
L,Financials
MRSH,Financials
PRU,Financials
SPGI,Financials
COF,Financials
WFC,Financials
HIG,Financials
OMC,Communication Services
VZ,Communication Services
DIS,Communication Services
GOOGL,Communication Services
T,Communication Services
CHTR,Communication Services
GOOGL,Communication Services
NFLX,Communication Services
CMCSA,Communication Services
TKO,Communication Services
EA,Communication Services
SATS,Communication Services
META,Communication Services
TTWO,Communication Services
NWS,Communication Services
PSKY,Communication Services
WBD,Communication Services
LYV,Communication Services
TMUS,Communication Services
FOXA,Communication Services
FOX,Communication Services
NWSA,Communication Services
TTD,Communication Services
TSCO,Consumer Discretionary
PHM,Consumer Discretionary
AMZN,Consumer Discretionary
HD,Consumer Discretionary
RL,Consumer Discretionary
MCD,Consumer Discretionary
YUM,Consumer Discretionary
ABNB,Consumer Discretionary
EBAY,Consumer Discretionary
BKNG,Consumer Discretionary
DECK,Consumer Discretionary
TJX,Consumer Discretionary
DASH,Consumer Discretionary
AZO,Consumer Discretionary
POOL,Consumer Discretionary
TPR,Consumer Discretionary
BBY,Consumer Discretionary
NVR,Consumer Discretionary
LVS,Consumer Discretionary
CCL,Consumer Discretionary
HLT,Consumer Discretionary
CVNA,Consumer Discretionary
CMG,Consumer Discretionary
WYNN,Consumer Discretionary
DPZ,Consumer Discretionary
LULU,Consumer Discretionary
EXPE,Consumer Discretionary
NCLH,Consumer Discretionary
DHI,Consumer Discretionary
MGM,Consumer Discretionary
GM,Consumer Discretionary
